ICIS_FACILITY_INTEREST_ID,NPDES_ID,FACILITY_UIN,FACILITY_TYPE_CODE,FACILITY_NAME,LOCATION_ADDRESS,SUPPLEMENTAL_ADDRESS_TEXT,CITY,COUNTY_CODE,STATE_CODE,ZIP,GEOCODE_LATITUDE,GEOCODE_LONGITUDE,IMPAIRED_WATERS
3400071414,KYR10I122,110057193834.0,,HAWKINS FILL SITE,178 JOY LN,,SHEPHERDSVILLE,KY029,KY,40165,38.042056,-85.683603,303(D) Listed
3601690915,TNR137620,110071782994.0,COR,DANDRIDGE MASS GRADING PHASE 2,DEEP SPRINGS ROAD,DANDRIDGE,DANDRIDGE,TN089,TN,37725,36.005755,-83.525587,
600001260,LAL036412,110064637102.0,MWD,E BATON ROUGE CITY-PAR (SOUTH),2850 GARDERE LANE,,BATON ROUGE,LA033,LA,70820,30.348889,-91.135556,303(D) Listed
600016048,MAU000097,110030484651.0,,DEVELOPMENT AT 65 SUNNYSIDE AVENUE,65 SUNNYSIDE AVENUE,,HOLDEN,MA027,MA,01520,42.351389,-71.87024,
600015905,PRU201920,110030486249.0,,DUARTA WASTE REPAIR SHOP,"CORUJO SECTOR, LOT # 17, STATE RD 864",,BAYAMON,PR021,PR,00956,,,
600015930,UTR000146,110030487578.0,POF,BURDICK PAVING,1368 SOUTH 3000 WEST,,ROOSEVELT,UT013,UT,84066,40.393778,-110.150083,
600015932,UTR000601,110020082809.0,COR,"BLAZZARD LUMBER COMPANY,INC",525 NORTH MAIN,,KAMAS,UT043,UT,84036-0065,40.65175,-111.280972,
3601256695,PAC100195,110070883533.0,NON,EHRMAN SQUARE,21101 US-19,,"CRANBERRY, TOWNSHIP OF",PA019,PA,16066,40.734477,-80.111234,303(D) Listed
600015644,CTU005023,110030482172.0,,APPLE HILL ESTATE,OSBORN ROAD,,NAUGATUCK,CT009,CT,06770,41.48934,-73.02898,
600015648,CTU005024,110030482190.0,,DEARCANGELO ESTATES,OSBORN ROAD,,NAUGATUCK,CT009,CT,06770,41.48934,-73.02898,
600015973,UTR000668,110030487925.0,POF,"BOTTLING GROUP, LLC",3388 W 1987 SOUTH,,SALT LAKE CITY,UT035,UT,84104,40.728472,-111.972111,
600015975,UTR000558,110011675650.0,POF,MAY FOUNDRY & MACHINE,454 W. 600 N.,,SALT LAKE CITY,UT035,UT,84110,40.782946,-111.904077,303(D) Listed
600016257,MTR102487,110030484465.0,POF,OWL CORPORATION WESTVIEW ESTATES PHASE 3,500 PALMER DR,,KALISPELL,MT029,MT,59901,48.243333,-114.35,
600015970,MTG589005,110010825802.0,TRB,CHIPPEWA CREE TRIBE,"RR1, P.O. BOX 644",,BOX ELDER,MT041,MT,59521,48.303056,-110.003611,
600015907,PRU201350,110015775605.0,,ESCUELA INTERMEDIA URBANADE SAN,"GERMAN URBANA PR-166, KM 11.0",,SAN GERMAN,PR125,PR,00683,,,
600015878,MTR102482,110064637111.0,POF,CONTINENTAL RESOURCES INC JUNE 1-8H WELL SITE,T24N R53E S8,,RICHEY,MT021,MT,59259,47.85522,-104.94668,
600015925,UTR000526,110020094743.0,POF,WILLOW CREEK MINE,847 NW HWY 191,,HELPER,UT007,UT,84526,39.7125,-110.856944,
600015944,UTR000554,110000470099.0,POF,ALCOA EXTRUSIONS,1550 N KIRBY LANE,,SPANISH FORK,UT049,UT,84660-1349,40.129722,-111.644444,303(D) Listed
600016240,MTB000607,110030484946.0,STF,MT DEPT OF TRANSPORTATION BITTERROOT RIVER 318 PERMIT,BITTERROOT NEAR SULA,,SULA,MT081,MT,59871,45.86317,-114.03164,
600015871,MTR102481,110030484367.0,POF,CONTINENTAL RESOURCES INC WINTERS 2-35H WELL SITE,NEAR ENID,,ENID,MT083,MT,59243,47.80398,-104.88312,
600016639,IL0002119,110015682215.0,POF,CLEVELAND-CLIFFS RIVERDALE LLC,13500 SOUTH PERRY AVENUE,,RIVERDALE,IL031,IL,60827,41.661111,-87.621667,303(D) Listed
600016640,PRR10BD13,110037118865.0,,CAMINOS VERDES II,PR 844 KM 3.2 CUPEY BAJO WARD,,SAN JUAM,PR127,PR,00925,18.35615,-66.040139,303(D) Listed
600016059,MAU000098,110002349771.0,,NORTHAMPTON WASTEWATER TREATMENT PLANT,33 HOCKANUM ROAD,,NORTHAMPTON,MA015,MA,01060,42.311479,-72.62259,
600016200,UTU000594,110030487738.0,POF,CASCADES AT MOOSE HOLLOW,WOLF CREEK,,EDEN,UT057,UT,84310,41.32832,-111.8271,303(D) Listed
600016201,MTR102445,110030483224.0,POF,DIAMOND ESTATES SUBDIV.  PHASE II,DIAMOND ESTATES SUBDIVISION,,BOZEMAN,MT031,MT,59718,45.68804,-111.09331,
600016204,MTG490015,110040953778.0,POF,GARNET USA LLC,2200 HWY 287,,ALDER,MT057,MT,59710,45.32432,-112.08743,
600016009,MDG859621,110030483082.0,POF,FEDERAL HILL MINE,0.7 MI. N.E OF PARKERSBURG RD,ALLEGANY COUNTY,MOUNT SAVAGE,MD001,MD,21545,39.675556,-78.869722,303(D) Listed
600016262,PA0239984,110030486891.0,POF,LAURIE MANDEL SRSTP,268 SHADES BEACH RD,,ERIE,PA049,PA,16511-1553,42.186389,-79.962778,
600016066,MTR102476,110030483698.0,POF,MARK BUCK CONSTRUCTION INC COTTONWOOD BRIDGE REPLACEMENT,COTTONWOOD BRIDGE,,DEER LODGE,MT077,MT,59722,46.4041,-112.73434,
