ACTIVITY_ID,EXTERNAL_PERMIT_NMBR,VERSION_NMBR,FACILITY_TYPE_INDICATOR,PERMIT_TYPE_CODE,MAJOR_MINOR_STATUS_FLAG,PERMIT_STATUS_CODE,TOTAL_DESIGN_FLOW_NMBR,ACTUAL_AVERAGE_FLOW_NMBR,STATE_WATER_BODY,STATE_WATER_BODY_NAME,PERMIT_NAME,AGENCY_TYPE_CODE,ORIGINAL_ISSUE_DATE,ISSUE_DATE,ISSUING_AGENCY,EFFECTIVE_DATE,EXPIRATION_DATE,RETIREMENT_DATE,TERMINATION_DATE,PERMIT_COMP_STATUS_FLAG,DMR_NON_RECEIPT_FLAG,RNC_TRACKING_FLAG,MASTER_EXTERNAL_PERMIT_NMBR,TMDL_INTERFACE_FLAG,EDMR_AUTHORIZATION_FLAG,PRETREATMENT_INDICATOR_CODE,RAD_WBD_HUC12S
20010978,HI0020842,1,NON-POTW,NPD,N,ADC,,,200700000000,"KAMOOLOA, KUIA & HULEIA STREAMS","JAS. W. GLOVER, LTD",ST6,02/11/1980,02/15/2006,,03/17/2006,01/31/2010,05/04/2013,,Y,N,Y,,Y,N,,200700000206:Papakolea Stream-Nawiliwili Stream
20007260,AKG370688,1,NON-POTW,GPC,N,ADC,,,,PETERS CREEK,MICHELE STEVENS,ST6,10/06/2005,10/06/2005,ADEC,10/17/2005,10/07/2010,04/05/2012,,Y,Y,Y,AKG370000,,N,,
20014180,HI0000175,0,NON-POTW,NPD,,NON,,4.6,,PACIFIC OCEAN,HAMAKUA MILL,ST6,,,,,,,,,,Y,,,N,,
20000218,AK0050571,2,NON-POTW,NPD,M,ADC,,,,"SHERMAN AND CAMP CREEKS,LYNN CANAL",COEUR ALASKA INC,ST6,04/14/1998,06/28/2005,ADEC,09/01/2005,08/31/2010,08/31/2011,,Y,Y,Y,,,N,,
20000224,AK0051012,0,NON-POTW,NPD,,PND,,,,PORT ARMSTRONG,ARMSTRONG - KETA INC,ST6,,,ADEC,,,,,,,Y,,,N,,
20011276,HIF000606,0,NON-POTW,GPC,N,TRM,,,,,WAIAKEA VILLAS AND VILLAGE,ST6,12/20/2004,01/01/2005,,01/01/2005,12/31/2009,,03/04/2008,Y,Y,Y,HIG250000,,N,,200100000407:Waiakea Stream
20007560,AKG370701,1,NON-POTW,GPC,N,ADC,,,,WEST SHERRETTE CREEK,JON PECKENPAUGH,ST6,10/06/2005,10/06/2005,ADEC,10/07/2005,10/07/2010,04/05/2012,,Y,Y,Y,AKG370000,,N,,
20008712,AKG371219,0,NON-POTW,GPC,N,TRM,,,19040104,FORTYMILE RIVER,"LIKINS, DAVID",ST6,05/31/1994,08/23/2000,ADEC,10/02/2000,10/03/2005,,10/03/2005,N,Y,Y,AKG371000,,N,,190705020806:Hilda Creek-North Fork Fortymile River
20013976,HI0020184,0,NON-POTW,NPD,N,TRM,,3.2,,HONOKOWAI STREAM,"MAUI, COUNTY OF",ST6,12/18/1974,07/02/1990,,07/02/1990,08/31/1994,,09/01/1994,N,Y,Y,,,N,,200200000704:Honokowai Stream
20004504,AKU000137,0,,UFT,,,,,,,,EP6,,,,,,,,,,Y,,,N,,190204010503:Big Lake
20009850,AK0020613,0,NON-POTW,NPD,N,TRM,,,,KNIK RIVER,EKLUTNA INC,EP6,12/12/1973,12/12/1973,,12/12/1973,12/12/1978,,05/01/1998,N,Y,Y,,,N,,
20001734,AKG375428,1,NON-POTW,GPC,N,EXP,,,,SIXMILE-RESURRECTION CRK DRNGS,"KING, ROGER",EP6,12/20/1996,04/22/2002,,06/03/2002,06/04/2007,06/04/2007,,Y,Y,Y,AKG375000,,N,,
20013906,HI0020451,0,NON-POTW,NPD,N,TRM,,0.02,,MAMALA BAY,HI DEPT OF TRANS,ST6,01/03/1975,01/03/1975,,01/03/1975,10/31/1976,,10/31/1976,N,Y,Y,,,N,,
20013734,HI0110132,0,FEDERAL,NPD,N,TRM,,0.2,,WAIKELE STREAM,US AIR FORCE,EP6,01/31/1975,01/31/1975,,01/31/1975,07/01/1977,,04/14/1977,N,Y,Y,,,N,,
20000422,AKG330079,0,NON-POTW,GPC,N,TRM,,,,TUNDRA WETLANDS,CONOCOPHILLIPS ALASKA INC,EP6,11/20/2003,11/20/2003,,06/13/2005,01/02/2009,,02/07/2006,Y,Y,Y,AKG330000,,N,,190602020203:Nunavak Bay-Frontal Chukchi Sea
20015250,IDG130009,1,NON-POTW,GPC,M,EXP,,,17040212,SNAKE RIVER,SEAPAC OF IDAHO INC,EP6,08/19/1999,08/19/1999,,09/10/1999,09/10/2004,11/30/2007,,Y,Y,Y,IDG130000,,N,,170402121105:Peters Gulch-Snake River
20011744,HIF000842,0,NON-POTW,GPC,N,TRM,,,,,KIHEI BIKEWAY AT PIILANI NORT,ST6,05/21/2009,05/21/2009,,05/21/2009,10/21/2012,,10/22/2012,Y,Y,Y,HIR100000,,N,,
20011836,HIF000888,0,NON-POTW,GPC,N,TRM,,,,,KIAHUNA GOLF COURSE,ST6,10/07/2003,01/01/2005,,01/01/2005,12/31/2009,,11/06/2007,Y,Y,Y,HIR100000,,N,,
20003546,AKG520060,0,NON-POTW,GPC,N,TRM,,,,SE  TONGASS NARROWS  WARDS COVE,WARDS COVE PACKING CO INC,ST6,06/18/1984,07/18/2001,ADEC,09/14/2001,07/27/2006,,01/24/2007,N,Y,Y,AKG520000,,N,,190101020403:Tongass Narrows-Frontal Clarence Strait
20007164,AKG520128,0,NON-POTW,GPC,N,TRM,,,,VARIOUS ALASKAN WATERS,FUTURA FISHERIES INC,ST6,06/18/1984,09/28/1989,ADEC,10/30/1989,10/31/1994,,04/16/1998,N,Y,Y,AKG520000,,N,,
