NPDES_ID,YEARQTR,HLRNC,NUME90Q,NUMCVDT,NUMSVCD,NUMPSCH,NUMD8090Q
AK0000345,20143, ,0,0,0,2,0
AK0000345,20144, ,0,0,0,2,0
AK0000345,20151, ,0,0,0,2,0
AK0000345,20152, ,0,0,0,2,0
AK0000345,20153, ,0,0,0,2,0
AK0000345,20154, ,0,0,0,2,0
AK0000345,20161, ,0,0,0,2,0
AK0000345,20162, ,0,0,0,2,0
AK0000345,20163, ,0,0,0,2,0
AK0000345,20164, ,0,0,0,2,0
AK0000345,20171, ,0,0,0,2,0
AK0000345,20172, ,0,0,0,2,0
AK0000345,20173, ,0,0,0,2,0
AK0000345,20174, ,0,0,0,2,0
AK0000345,20181, ,0,0,0,2,0
AK0000345,20182, ,0,0,0,2,0
AK0000345,20183, ,0,0,0,2,0
AK0000345,20184, ,0,0,0,2,0
AK0000345,20191, ,0,0,0,2,0
AK0000345,20192, ,0,0,0,2,0
AK0000345,20193, ,0,0,0,2,0
AK0000345,20194, ,0,0,0,2,0
AK0000345,20201, ,0,0,0,2,0
AK0000345,20202, ,0,0,0,2,0
AK0000345,20203, ,0,0,0,2,0
AK0000345,20204, ,0,0,0,2,0
AK0000345,20211, ,0,0,0,2,0
AK0000345,20212, ,0,0,0,2,0
AK0000345,20213, ,0,0,0,2,0
AK0000345,20214, ,0,0,0,2,0
AK0000345,20221, ,0,0,0,2,0
AK0000345,20222, ,0,0,0,2,0
AK0000345,20223, ,0,0,0,2,0
AK0000345,20224, ,0,0,0,2,0
AK0000345,20231, ,0,0,0,2,0
AK0000345,20232, ,0,0,0,2,0
AK0000345,20233, ,0,0,0,2,0
AK0000345,20234, ,0,0,0,2,0
AK0000345,20241, ,0,0,0,2,0
AK0000345,20242, ,0,0,0,2,0
AK0000345,20243, ,0,0,0,2,0
AK0000345,20244, ,0,0,0,2,0
AK0000345,20251, ,0,0,0,2,0
AK0000345,20252, ,0,0,0,2,0
AK0000345,20253, ,0,0,0,2,0
AK0000353,19922, ,1,0,0,0,0
AK0000353,19924, ,1,0,0,0,0
AK0000353,19931, ,1,0,0,2,0
AK0000353,19932, ,0,0,0,2,0
AK0000353,19934, ,1,0,0,0,0
AK0000353,19941, ,0,0,0,2,0
AK0000353,19942, ,0,0,0,2,0
AK0000353,19944, ,1,0,0,0,0
AK0000353,19951, ,4,0,0,2,0
AK0000353,19952, ,2,0,0,2,48
AK0000353,19953, ,3,0,0,0,1
AK0000353,19961,R,4,0,0,2,0
AK0000353,19962,E,10,0,0,2,0
AK0000353,19963,E,10,0,0,2,0
AK0000353,19964,E,6,0,0,0,0
AK0000353,19971,E,5,0,0,2,0
AK0000353,19972,E,9,0,0,2,41
AK0000353,19973,E,0,0,0,2,0
AK0000353,19974,R,4,0,0,0,0
AK0000353,19981,E,6,0,0,0,0
AK0000353,19982,E,11,0,0,0,0
AK0000361,19922, ,0,0,0,0,78
AK0000361,19931, ,0,0,0,1,72
AK0000361,19933, ,1,0,0,0,8
AK0000361,19934, ,1,0,0,0,0
AK0000361,19941, ,1,0,0,2,0
AK0000361,19942, ,0,0,0,2,0
AK0000361,19943, ,0,0,0,2,64
AK0000361,19951, ,0,0,0,1,0
AK0000361,19953, ,3,0,0,0,0
AK0000361,19954, ,1,0,0,0,215
AK0000361,19961,N,0,0,0,1,73
AK0000361,19962,R,6,0,0,0,28
AK0000361,19963,N,2,0,0,0,0
AK0000361,19974, ,1,0,0,0,0
AK0000361,19981,N,0,0,0,0,146
AK0000361,19982,N,0,0,0,0,73
AK0000361,19983,W,0,0,0,0,73
AK0000361,19984,W,0,0,0,0,0
AK0000361,19991,W,0,0,0,0,0
AK0000361,19992,W,0,0,0,0,0
AK0000361,19993,W,0,0,0,0,0
AK0000361,19994,W,0,0,0,0,0
AK0000361,20001,W,0,0,0,0,0
AK0000361,20002,W,0,0,0,0,0
